report_number,accident_year,accident_date,operator_id,operator_name,pipeline_location,pipeline_type,liquid_type,accident_city,accident_county,accident_state,accident_latitude,accident_longitude,cause_category,unintentional_release,intentional_release,liquid_recover,net_loss,liquid_ignition,liquid_explosion,pipeline_shutdown,public_evacuations,all_injuries,all_fatalities,property_damage_costs,lost_commodity_costs,public_private_property_damage_costs,emergency_response_costs,environmental_remediation_costs,other_costs,all_costs,close_time
20100071,2010,2010-01-18T10:00:00Z,19237,"TE PRODUCTS PIPELINE COMPANY, LLC",ONSHORE,TANK,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",PRINCETON,GIBSON,IN,38.32113,-87.34782,MATERIAL/WELD/EQUIP FAILURE,2,0,0,2,NO,NO,NO,NA,0,0,1000,100,0,0,0,0,1100,0
20100031,2010,2010-01-19T13:10:00Z,22610,"MAGELLAN PIPELINE COMPANY, LP",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",AURORA,ADAMS COUNTY,CO,39.0081,-104.01317,MATERIAL/WELD/EQUIP FAILURE,1.79,NA,0.9,0.89,NO,NO,NO,NA,0,0,3500,500,0,10000,12000,0,26000,0
20100087,2010,2010-01-19T20:00:00Z,4805,EXPLORER PIPELINE CO,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",HARTFORD,MADISON,IL,38.82204,-90.07892,MATERIAL/WELD/EQUIP FAILURE,3,0,2,1,NO,NO,YES,0,0,0,41000,85,0,5100,0,0,46185,809
20100091,2010,2010-01-21T09:30:00Z,31325,PACIFIC PIPELINE SYSTEM LLC,ONSHORE,TANK,CRUDE OIL,TAFT,KERN,CA,35.27901,-119.31192,MATERIAL/WELD/EQUIP FAILURE,2,0,2,0,NO,NO,NO,NA,0,0,1200,150,0,2000,4457,0,7807,0
20100177,2010,2010-01-21T12:30:00Z,15674,PLANTATION PIPE LINE CO,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GREENSBURG,ST. HELENA,LA,30.78251,-90.75851,NATURAL FORCE DAMAGE,6.76,NA,6.76,0,NO,NO,YES,NA,0,0,85000,570,0,105000,10000,0,200570,485
20100257,2010,2010-01-21T18:43:00Z,15674,PLANTATION PIPE LINE CO,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",COLLINS,COVINGTON,MS,31.63251,-89.52266,MATERIAL/WELD/EQUIP FAILURE,0.71,0,0.71,0,NO,NO,NA,NA,0,0,2130,0,0,670,0,0,2800,0
20120021,2010,2010-01-22T12:05:00Z,10012,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",EL DORADO,BUTLER COUNTY,KS,37.803255,-96.873398,INCORRECT OPERATION,1.2,0,1.2,0,NO,NO,NO,0,0,0,0,0,0,3623,3263,1981,8867,0
20100072,2010,2010-01-24T12:30:00Z,19237,"TE PRODUCTS PIPELINE COMPANY, LLC",ONSHORE,TANK,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",PRINCETON,GIBSON,IN,38.32113,-87.34782,MATERIAL/WELD/EQUIP FAILURE,1,0,0,1,NO,NO,NO,NA,0,0,2000,100,0,0,0,0,2100,0
20100017,2010,2010-01-25T11:07:00Z,11733,LOOP INC,ONSHORE,ABOVEGROUND,CRUDE OIL,CUT OFF,LAFOURCHE,LA,29.47,-90.25444,MATERIAL/WELD/EQUIP FAILURE,202,0,202,0,NO,NO,YES,0,0,0,30000,0,0,600000,37000,0,667000,2298
20100018,2010,2010-01-27T15:30:00Z,31174,"SHELL PIPELINE CO., L.P.",ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",PORT ARTHUR,JEFFERSON,TX,29.8916,-93.9897,ALL OTHER CAUSES,0.6,0,0,0.6,NO,NO,NO,NA,0,0,50000,65,0,10000,0,0,60065,0
20100084,2010,2010-01-28T11:00:00Z,1248,BELLE FOURCHE PIPELINE CO,ONSHORE,ABOVEGROUND,CRUDE OIL,DICKINSON,STARK,ND,46.851256,-102.770368,OTHER OUTSIDE FORCE DAMAGE,20,NA,13,7,NO,NO,YES,0,0,0,500,420,0,750,9500,0,11170,415
20110376,2010,2010-02-02T08:00:00Z,31476,SEMGROUP LP,ONSHORE,ABOVEGROUND,CRUDE OIL,HARPER,HARPER,KS,37.355914,-98.206945,MATERIAL/WELD/EQUIP FAILURE,15,0,10,5,NO,NO,NA,0,0,0,3000,500,0,2000,1000,0,6500,0
20100244,2010,2010-02-04T15:10:00Z,22430,WEST SHORE PIPELINE CO,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MILWAUKEE,MILWAUKEE,WI,42.9289,-87.8884,NATURAL FORCE DAMAGE,0.24,0,0.19,0.05,NO,NO,NA,NA,0,0,2500,35,0,0,1986,0,4521,0
20100032,2010,2010-02-06T11:30:00Z,22610,"MAGELLAN PIPELINE COMPANY, LP",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",EL DORADO,BUTLER,KS,37.80218,-96.90935,MATERIAL/WELD/EQUIP FAILURE,3,0,1.67,1.33,NO,NO,NA,NA,0,0,100,200,0,3000,1500,0,4800,0
20100233,2010,2010-02-08T12:20:00Z,31174,"SHELL PIPELINE CO., L.P.",ONSHORE,UNDERGROUND,CRUDE OIL,LAKE ARTHUR,JEFFERSON DAVIS,LA,30.0795,-92.7465,MATERIAL/WELD/EQUIP FAILURE,5,0,0,5,NO,NO,YES,0,0,0,230000,400,30000,120000,0,0,380400,2762
20100256,2010,2010-02-09T10:00:00Z,15674,PLANTATION PIPE LINE CO,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",BATON ROUGE,EAST BATON ROUGE,LA,30.54741,-90.16677,MATERIAL/WELD/EQUIP FAILURE,0.64,0,0.64,0,NO,NO,NA,NA,0,0,500,0,0,450,0,0,950,0
20100253,2010,2010-02-09T15:25:00Z,1845,"BUCKEYE PARTNERS, LP",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",LINCOLN,HENDRICKS,IN,39.8106,-86.3342,NATURAL FORCE DAMAGE,0.71,0,0.71,0,NO,NO,NO,0,0,0,0,0,0,2314,3063,0,5377,0
20100001,2010,2010-02-16T07:42:00Z,22610,"MAGELLAN PIPELINE COMPANY, LP",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",WAYNE,DUPAGE,IL,41.94352,-88.23353,MATERIAL/WELD/EQUIP FAILURE,0.12,0,0.12,0,NO,NO,NO,NA,0,0,25900,15,0,1500,1900,1200,30515,0
20100036,2010,2010-02-17T17:45:00Z,22610,"MAGELLAN PIPELINE COMPANY, LP",ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",KANSAS CITY,WYANDOTTE,KS,39.13776,-94.5968,MATERIAL/WELD/EQUIP FAILURE,0.12,NA,0.12,0,NO,NO,NO,NA,0,0,1000,14,0,0,500,0,1514,0
20100004,2010,2010-02-19T06:50:00Z,1845,"BUCKEYE PARTNERS, LP",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",LINDEN,UNION,NJ,40.6086,-74.2399,MATERIAL/WELD/EQUIP FAILURE,0.95,NA,0.95,0,NO,NO,YES,NA,0,0,0,0,0,4400,12700,0,17100,420
20100009,2010,2010-02-20T06:30:00Z,18718,SUNOCO PIPELINE L.P.,ONSHORE,UNDERGROUND,CRUDE OIL,LONGVIEW,GREGG,TX,32.4785,-94.8679,MATERIAL/WELD/EQUIP FAILURE,8,0,6,2,NO,NO,YES,0,0,0,3449,152,0,5634,84278,0,93513,1015
20100005,2010,2010-02-21T12:45:00Z,300,"PLAINS PIPELINE, L.P.",ONSHORE,UNDERGROUND,CRUDE OIL,MCCAMEY,UPTON,TX,31.13284,-101.18974,CORROSION,9,0,9,0,NO,NO,NO,0,0,0,700,585,0,600,11000,4600,17485,0
20100003,2010,2010-02-22T10:38:00Z,32035,LDH ENERGY PIPELINE L.P.,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",BIG SPRING,HOWARD,TX,32.22471,-101.4044,CORROSION,1,116,0,1,NO,NO,NO,0,0,0,0,2360,0,0,0,24500,26860,0
20100006,2010,2010-02-22T10:56:00Z,31684,CONOCOPHILLIPS,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",SPOKANE,SPOKANE,WA,47.71696,-117.35583,INCORRECT OPERATION,0.71,NA,0,0.71,NO,NO,NO,0,0,0,500,90,0,2200,6000,0,8790,0
20100007,2010,2010-02-23T23:30:00Z,32109,ONEOK NGL PIPELINE LP,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",COUNCIL BLUFFS,POTTAWATAMIE,IA,41.21235,-95.8301,INCORRECT OPERATION,28,0,0,28,NO,NO,NO,0,0,0,0,2286,0,0,126721,0,129007,0
20100008,2010,2010-02-25T04:50:00Z,32109,ONEOK NGL PIPELINE LP,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",POND CREEK,GRANT,OK,36.6659,-97.8846,INCORRECT OPERATION,13718,0,0,13718,NO,NO,YES,5,0,0,966352,622934,7500,3000,0,0,1599786,35887
20100010,2010,2010-02-25T10:00:00Z,2552,COLONIAL PIPELINE CO,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",NA,NA,NC,35.48354,-80.7357,MATERIAL/WELD/EQUIP FAILURE,0.55,0,0.55,0,NO,NO,NA,NA,0,0,15200,50,0,0,0,700,15950,0
20100014,2010,2010-03-01T08:10:00Z,12470,MID - VALLEY PIPELINE CO,ONSHORE,UNDERGROUND,CRUDE OIL,LONGVIEW,GREGG,TX,32.48325,-94.83034,CORROSION,198,0,196,2,NO,NO,YES,0,0,0,1134,150,0,11470,3264,0,16018,348
20100011,2010,2010-03-01T09:16:00Z,15774,ENBRIDGE PIPELINES (NORTH DAKOTA) LLC,ONSHORE,ABOVEGROUND,CRUDE OIL,CLEARBROOK,CLEARWATER,MN,47.68857,-95.41732,INCORRECT OPERATION,3,0,3,0,NO,NO,YES,0,0,0,0,80,0,0,3000,16000,19080,166
20100002,2010,2010-03-01T11:50:00Z,31672,"CHAPARRAL ENERGY, LLC",ONSHORE,ABOVEGROUND,CO2 (CARBON DIOXIDE),HAYNE,SEWARD,KS,37.10847,-100.80037,ALL OTHER CAUSES,2.99,NA,0,2.99,NO,NO,YES,0,0,0,3500,10,0,0,0,0,3510,5169
20100020,2010,2010-03-03T22:20:00Z,31618,ENTERPRISE PRODUCTS OPERATING LLC,OFFSHORE,NA,CRUDE OIL,NA,NA,NA,28.10406,-90.79238,MATERIAL/WELD/EQUIP FAILURE,0.5,0,0,0.5,NO,NO,NO,0,0,0,100,75,0,598,0,0,773,0
20100012,2010,2010-03-04T05:30:00Z,2552,COLONIAL PIPELINE CO,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",SULPHUR,CALCASIEU,LA,30.16801,-93.34001,MATERIAL/WELD/EQUIP FAILURE,7.88,0,7.08,0.8,NO,NO,YES,NA,0,0,7000,500,13000,15000,27000,2500,65000,120
20100015,2010,2010-03-04T23:00:00Z,4906,EXXONMOBIL PIPELINE CO,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",SORRENTO,ASCENSION,LA,30.17319,-90.78774,MATERIAL/WELD/EQUIP FAILURE,0.31,NA,0,0.31,NO,NO,YES,0,0,0,13500,94,0,0,0,0,13594,660
20100013,2010,2010-03-08T11:01:00Z,15156,SINCLAIR TRANSPORTATION COMPANY,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",CARROLLTON,CARROLL,MO,39.36359,-93.45965,MATERIAL/WELD/EQUIP FAILURE,84,0,83,1,NO,NO,NO,0,0,0,0,90,0,5849,5348,0,11287,0
20100061,2010,2010-03-08T11:30:00Z,22610,"MAGELLAN PIPELINE COMPANY, LP",ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",KANSAS CITY,WYANDOTTE,KS,39.13844,-94.60013,NATURAL FORCE DAMAGE,168,0,75,93,NO,NO,NO,0,0,0,0,11625,0,1000,72995,0,85620,0
20100022,2010,2010-03-09T11:25:00Z,18718,SUNOCO PIPELINE L.P.,ONSHORE,UNDERGROUND,CRUDE OIL,LONGVIEW,GREGG,TX,32.48248,-94.8391,MATERIAL/WELD/EQUIP FAILURE,1,NA,0.5,0.5,NO,NO,NO,NA,0,0,2500,39,0,2500,0,0,5039,0
20100023,2010,2010-03-09T14:15:00Z,18718,SUNOCO PIPELINE L.P.,ONSHORE,UNDERGROUND,CRUDE OIL,CORSICANA,NAVARRO,TX,32.06839,-96.47081,MATERIAL/WELD/EQUIP FAILURE,1,NA,0.05,0.95,NO,NO,NO,NA,0,0,17019,78,0,7967,1000,0,26064,0
20100034,2010,2010-03-11T10:00:00Z,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",ONSHORE,UNDERGROUND,CRUDE OIL,SUPERIOR,DOUGLAS,WI,46.68889,-92.05972,NATURAL FORCE DAMAGE,0.75,0,0.75,0,NO,NO,NO,0,0,0,1000,60,0,5000,2000,0,8060,0
20100035,2010,2010-03-14T22:04:00Z,22610,"MAGELLAN PIPELINE COMPANY, LP",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MILFORD,DICKINSON,IA,43.29183,-95.15157,NATURAL FORCE DAMAGE,115,0,45,70,NO,NO,YES,0,0,0,50,9000,2500,340000,160000,0,511550,3910
20100043,2010,2010-03-15T09:30:00Z,18718,SUNOCO PIPELINE L.P.,ONSHORE,TANK,CRUDE OIL,COMYN,COMANCHE,TX,32.07267,-98.46948,MATERIAL/WELD/EQUIP FAILURE,0.12,NA,0,0.12,NO,NO,NO,NA,0,0,0,10,0,755,0,0,765,0
20100019,2010,2010-03-15T10:00:00Z,30829,"TEPPCO CRUDE PIPELINE, LLC",ONSHORE,ABOVEGROUND,CRUDE OIL,HOBBS,LEA,NM,32.652,-103.1393,MATERIAL/WELD/EQUIP FAILURE,2,0,2,0,NO,NO,NO,NA,0,0,1000,160,0,0,0,0,1160,0
20100039,2010,2010-03-15T15:55:00Z,18718,SUNOCO PIPELINE L.P.,ONSHORE,UNDERGROUND,CRUDE OIL,WHITE OAK,GREGG,TX,32.52582,-94.86381,MATERIAL/WELD/EQUIP FAILURE,0.6,NA,0,0.6,NO,NO,YES,NA,0,0,NA,46,NA,10999,452,NA,11497,150
20100042,2010,2010-03-16T11:10:00Z,18092,"SFPP, LP",ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",SACRAMENTO,SACRAMENTO,CA,38.5997,-121.4483,CORROSION,48,0,5.12,42.88,NO,NO,YES,0,0,0,60000,490,0,70000,299510,50000,480000,2280
20100041,2010,2010-03-18T15:30:00Z,31947,ENBRIDGE PIPELINES (OZARK) L.L.C.,ONSHORE,UNDERGROUND,CRUDE OIL,CUSHING,PAYNE,OK,35.95885,-96.75655,CORROSION,7,0,7,0,NO,NO,YES,0,0,0,25000,0,0,6000,5000,18000,54000,0
20100048,2010,2010-03-20T12:03:00Z,31325,PACIFIC PIPELINE SYSTEM LLC,ONSHORE,UNDERGROUND,CRUDE OIL,METTLER,KERN,CA,35.01937,-119.06305,CORROSION,240,0,240,0,NO,NO,YES,0,0,0,0,800,0,2000,8000,6000,16800,4567
20100044,2010,2010-03-21T01:00:00Z,31189,BP PIPELINE (NORTH AMERICA) INC.,ONSHORE,ABOVEGROUND,CRUDE OIL,MOKENA,WILL,IL,41.5569,-87.8861,MATERIAL/WELD/EQUIP FAILURE,90,0,90,0,NO,NO,YES,0,0,0,12000,6500,0,120000,20000,0,158500,4275
20100051,2010,2010-03-22T13:30:00Z,31189,BP PIPELINE (NORTH AMERICA) INC.,ONSHORE,ABOVEGROUND,CRUDE OIL,TEXAS CITY,GALVESTON,TX,29.39972,-94.96417,MATERIAL/WELD/EQUIP FAILURE,0.47,0,0.47,0,NO,NO,NO,0,0,0,70000,30,0,36000,0,0,106030,0
20100046,2010,2010-03-23T14:00:00Z,2552,COLONIAL PIPELINE CO,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",JACKSON,EAST FELICIANA,LA,30.71121,-91.28349,CORROSION,1.35,0,1.35,0,NO,NO,NA,NA,0,0,166,107,0,4500,0,0,4773,0
20100050,2010,2010-03-23T18:30:00Z,31684,CONOCOPHILLIPS,ONSHORE,ABOVEGROUND,CRUDE OIL,WESTLAKE,CALCASIEU PARISH,LA,30.241,-93.27546,MATERIAL/WELD/EQUIP FAILURE,0.24,NA,0.24,0,NO,NO,YES,NA,0,0,500,20,0,2000,1000,0,3520,176
20100049,2010,2010-03-24T08:00:00Z,31947,ENBRIDGE PIPELINES (OZARK) L.L.C.,ONSHORE,ABOVEGROUND,CRUDE OIL,CUSHING,LINCOLN,OK,35.93985,-96.75629,MATERIAL/WELD/EQUIP FAILURE,0.25,0,0.25,0,NO,NO,NA,NA,0,0,600,0,0,400,350,0,1350,0
20100040,2010,2010-03-24T13:30:00Z,15674,PLANTATION PIPE LINE CO,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",BATON ROUGE,EAST BATON ROUGE,LA,30.54741,-90.16677,MATERIAL/WELD/EQUIP FAILURE,0.47,NA,0.47,0,NO,NO,NA,NA,0,0,400,415,0,3400,0,0,4215,0
20100054,2010,2010-03-25T13:42:00Z,18779,"SUNOCO, INC (R&M)",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",PHILADELPHIA,PHILADELPHIA,PA,39.91934,-75.20447,MATERIAL/WELD/EQUIP FAILURE,1700,0,1699,1,NO,NO,YES,0,0,0,0,0,0,0,100000,0,100000,4200
20100045,2010,2010-03-25T17:36:00Z,31563,"WHITECAP PIPE LINE COMPANY, L.L.C.",OFFSHORE,NA,CRUDE OIL,NA,NA,NA,28.68555,-91.04555,OTHER OUTSIDE FORCE DAMAGE,5.7,0,0,5.7,NO,NO,YES,0,0,0,2200000,1260,0,0,0,0,2201260,51910
20100027,2010,2010-03-26T13:50:00Z,31684,CONOCOPHILLIPS,ONSHORE,ABOVEGROUND,CRUDE OIL,BORGER,NA,TX,35.68463,-101.35898,INCORRECT OPERATION,0.71,0,0.6,0.11,NO,NO,YES,NA,0,0,0,58,0,0,30000,0,30058,60
